ig_id,profile_img,Freq_Day_post,image_sum_comment,image_sum_like_view,image_mean_comment,image_mean_like_view,video_sum_comment,video_sum_like_view,video_sum_comment,video_sum_like_view,video_sum_comment,video_sum_like_view,no_of_hashtag,no_of_content_words,no_of_emoji,no_of_post_alt_words,profile_img_array,image_html_link,image_html_link,Added_HK_IG,political_words,Hong_Kong_words,Food_words,Beauty_words,Sport_words,Travel_words,Music_words,Education_words,Art_words,Acting_words
adapcy,scrap_web_details_image/adapcy_profile.png,0.0,,,,,0.0,343.0,0.0,343.0,0.0,343.0,0.0,99.0,0.0,212.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081165730>,"<img src=""scrap_web_details_image/adapcy_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/adapcy_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afterschool_hk,scrap_web_details_image/afterschool_hk_profile.png,0.9615277777777778,646.0,79623.0,24.846153846153847,3062.423076923077,,,,,,,379.0,21321.0,261.0,12760.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08116D3A0>,"<img src=""scrap_web_details_image/afterschool_hk_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/afterschool_hk_profile.png"" width=""60"" >",0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,187.0,0.0,0.0
agaseen,scrap_web_details_image/agaseen_profile.png,4.28,3496.0,130070.0,145.66666666666666,5419.583333333333,22.0,31000.0,22.0,31000.0,22.0,31000.0,11.0,6633.0,31.0,6156.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081284970>,"<img src=""scrap_web_details_image/agaseen_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/agaseen_profile.png"" width=""60"" >",4,0.0,4.0,0.0,6.0,1.0,1.0,14.0,1.0,0.0,0.0
agnes.the.foodie,scrap_web_details_image/agnes.the.foodie_profile.png,0.0,,,,,179.0,141000.0,179.0,141000.0,179.0,141000.0,24.0,713.0,1.0,727.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081174880>,"<img src=""scrap_web_details_image/agnes.the.foodie_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/agnes.the.foodie_profile.png"" width=""60"" >",0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agneswym,scrap_web_details_image/agneswym_profile.png,0.0,,,,,101.0,24576.0,101.0,24576.0,101.0,24576.0,0.0,143.0,4.0,137.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08115E3A0>,"<img src=""scrap_web_details_image/agneswym_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/agneswym_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ah7ng,scrap_web_details_image/ah7ng_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08117EBB0>,"<img src=""scrap_web_details_image/ah7ng_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/ah7ng_profile.png"" width=""60"" >",0,,,,,,,,,,
ah_hin,scrap_web_details_image/ah_hin_profile.png,4.0,15.0,2680.0,5.0,893.3333333333334,,,,,,,2.0,627.0,9.0,592.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08116DC40>,"<img src=""scrap_web_details_image/ah_hin_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/ah_hin_profile.png"" width=""60"" >",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ahfavslife,scrap_web_details_image/ahfavslife_profile.png,8.7,45.0,7842.0,4.5,784.2,,,,,,,1.0,3183.0,40.0,1715.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08116D5E0>,"<img src=""scrap_web_details_image/ahfavslife_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/ahfavslife_profile.png"" width=""60"" >",4,0.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0
aikonari.art,scrap_web_details_image/aikonari.art_profile.png,0.0,,,,,822.0,606000.0,822.0,606000.0,822.0,606000.0,5.0,1204.0,3.0,368.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081153DC0>,"<img src=""scrap_web_details_image/aikonari.art_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/aikonari.art_profile.png"" width=""60"" >",0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
aimeechan_official,scrap_web_details_image/aimeechan_official_profile.png,1.5,2480.0,392189.0,137.77777777777777,21788.277777777777,35.0,1551.0,35.0,1551.0,35.0,1551.0,151.0,11411.0,158.0,9645.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0811533A0>,"<img src=""scrap_web_details_image/aimeechan_official_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/aimeechan_official_profile.png"" width=""60"" >",1,0.0,0.0,10.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0
aitorgalcera,scrap_web_details_image/aitorgalcera_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081165520>,"<img src=""scrap_web_details_image/aitorgalcera_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/aitorgalcera_profile.png"" width=""60"" >",0,,,,,,,,,,
aka_chio,scrap_web_details_image/aka_chio_profile.png,0.0,,,,,148.0,74900.0,148.0,74900.0,148.0,74900.0,0.0,174.0,2.0,157.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08115E0D0>,"<img src=""scrap_web_details_image/aka_chio_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/aka_chio_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
alamfish,scrap_web_details_image/alamfish_profile.png,0.0,,,,,254.0,479000.0,254.0,479000.0,254.0,479000.0,0.0,88.0,1.0,330.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081174910>,"<img src=""scrap_web_details_image/alamfish_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/alamfish_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albee_be,scrap_web_details_image/albee_be_profile.png,3.0769212962962964,297.0,29024.0,11.423076923076923,1116.3076923076924,,,,,,,17.0,3088.0,46.0,2375.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081276F40>,"<img src=""scrap_web_details_image/albee_be_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/albee_be_profile.png"" width=""60"" >",13,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0
algogo,scrap_web_details_image/algogo_profile.png,8.833333333333334,24.0,1591.0,4.8,318.2,1.0,4252.0,1.0,4252.0,1.0,4252.0,15.0,1935.0,4.0,1770.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081284A60>,"<img src=""scrap_web_details_image/algogo_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/algogo_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
aliceha,scrap_web_details_image/aliceha_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08115EB50>,"<img src=""scrap_web_details_image/aliceha_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/aliceha_profile.png"" width=""60"" >",0,,,,,,,,,,
ally_manyan,scrap_web_details_image/ally_manyan_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08116DB50>,"<img src=""scrap_web_details_image/ally_manyan_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/ally_manyan_profile.png"" width=""60"" >",4,,,,,,,,,,
aloha6969,scrap_web_details_image/aloha6969_profile.png,0.0,,,,,6.0,2917.0,6.0,2917.0,6.0,2917.0,2.0,96.0,0.0,178.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08116D580>,"<img src=""scrap_web_details_image/aloha6969_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/aloha6969_profile.png"" width=""60"" >",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alysonhau,scrap_web_details_image/alysonhau_profile.png,2.038460648148148,113.0,1745.0,4.913043478260869,75.8695652173913,4.0,3327.0,4.0,3327.0,4.0,3327.0,117.0,18752.0,26.0,5569.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081284820>,"<img src=""scrap_web_details_image/alysonhau_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/alysonhau_profile.png"" width=""60"" >",2,0.0,31.0,3.0,1.0,5.0,0.0,0.0,2.0,1.0,0.0
amandastrang_,scrap_web_details_image/amandastrang__profile.png,2.961527777777777,479.0,15161.0,20.82608695652174,659.1739130434783,1.0,152.0,1.0,152.0,1.0,152.0,121.0,28667.0,23.0,25160.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0812760D0>,"<img src=""scrap_web_details_image/amandastrang__profile.png"" width=""60"" >","<img src=""scrap_web_details_image/amandastrang__profile.png"" width=""60"" >",0,0.0,3.0,5.0,7.0,7.0,0.0,0.0,2.0,0.0,0.0
amber.tcy,scrap_web_details_image/amber.tcy_profile.png,0.0,,,,,47091.0,29464000.0,47091.0,29464000.0,47091.0,29464000.0,8.0,312.0,1.0,312.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08116DEE0>,"<img src=""scrap_web_details_image/amber.tcy_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/amber.tcy_profile.png"" width=""60"" >",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amberchann46,scrap_web_details_image/amberchann46_profile.png,0.0,,,,,63.0,1038.0,63.0,1038.0,63.0,1038.0,0.0,46.0,2.0,181.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0811749D0>,"<img src=""scrap_web_details_image/amberchann46_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/amberchann46_profile.png"" width=""60"" >",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ameyummycollection,scrap_web_details_image/ameyummycollection_profile.png,0.9230671296296296,168.0,14479.0,12.0,1034.2142857142858,61.0,11809.0,61.0,11809.0,61.0,11809.0,725.0,28887.0,226.0,27517.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081276D30>,"<img src=""scrap_web_details_image/ameyummycollection_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/ameyummycollection_profile.png"" width=""60"" >",0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0
amy.chai.is.drawing,scrap_web_details_image/amy.chai.is.drawing_profile.png,5.55,63.0,1787.0,3.3157894736842106,94.05263157894736,10.0,1914.0,10.0,1914.0,10.0,1914.0,262.0,8293.0,26.0,6556.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081284550>,"<img src=""scrap_web_details_image/amy.chai.is.drawing_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/amy.chai.is.drawing_profile.png"" width=""60"" >",0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,4.0,9.0,0.0
andreaso_,scrap_web_details_image/andreaso__profile.png,1.5,2025.0,89915.0,77.88461538461539,3458.269230769231,,,,,,,33.0,4708.0,46.0,3114.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08115EAC0>,"<img src=""scrap_web_details_image/andreaso__profile.png"" width=""60"" >","<img src=""scrap_web_details_image/andreaso__profile.png"" width=""60"" >",0,0.0,1.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0
angela.yuen,scrap_web_details_image/angela.yuen_profile.png,0.0,,,,,14.0,27900.0,14.0,27900.0,14.0,27900.0,0.0,446.0,2.0,136.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081153A30>,"<img src=""scrap_web_details_image/angela.yuen_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/angela.yuen_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angelaliuy,scrap_web_details_image/angelaliuy_profile.png,0.0,,,,,0.0,1301.0,0.0,1301.0,0.0,1301.0,0.0,43.0,3.0,133.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0812765B0>,"<img src=""scrap_web_details_image/angelaliuy_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/angelaliuy_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angelc_ky,scrap_web_details_image/angelc_ky_profile.png,0.0,,,,,44.0,3318.0,44.0,3318.0,44.0,3318.0,2.0,267.0,3.0,259.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081174220>,"<img src=""scrap_web_details_image/angelc_ky_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/angelc_ky_profile.png"" width=""60"" >",6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
angelchu,scrap_web_details_image/angelchu_profile.png,0.0,,,,,921.0,602000.0,921.0,602000.0,921.0,602000.0,0.0,96.0,2.0,219.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0811657F0>,"<img src=""scrap_web_details_image/angelchu_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/angelchu_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angus_cwk,scrap_web_details_image/angus_cwk_profile.png,0.0,,,,,24.0,2267.0,24.0,2267.0,24.0,2267.0,1.0,85.0,0.0,225.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08115EA60>,"<img src=""scrap_web_details_image/angus_cwk_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/angus_cwk_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anjaylia,scrap_web_details_image/anjaylia_profile.png,0.0,,,,,13.0,4449.0,13.0,4449.0,13.0,4449.0,6.0,166.0,2.0,166.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0811536A0>,"<img src=""scrap_web_details_image/anjaylia_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/anjaylia_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
annabella.woo,scrap_web_details_image/annabella.woo_profile.png,5.578946759259259,138.0,4573.0,7.666666666666667,254.05555555555557,15.0,1374.0,15.0,1374.0,15.0,1374.0,0.0,3087.0,32.0,3587.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081174FA0>,"<img src=""scrap_web_details_image/annabella.woo_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/annabella.woo_profile.png"" width=""60"" >",3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
antwallace,scrap_web_details_image/antwallace_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081174EE0>,"<img src=""scrap_web_details_image/antwallace_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/antwallace_profile.png"" width=""60"" >",0,,,,,,,,,,
apmhk,scrap_web_details_image/apmhk_profile.png,0.7692245370370371,107.0,1313.0,4.458333333333333,54.708333333333336,76.0,34290.0,76.0,34290.0,76.0,34290.0,212.0,21403.0,180.0,14038.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081284520>,"<img src=""scrap_web_details_image/apmhk_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/apmhk_profile.png"" width=""60"" >",0,0.0,44.0,9.0,6.0,5.0,6.0,2.0,26.0,4.0,0.0
arhosunny,scrap_web_details_image/arhosunny_profile.png,0.0,,,,,207.0,27804.0,207.0,27804.0,207.0,27804.0,0.0,984.0,0.0,226.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0811656D0>,"<img src=""scrap_web_details_image/arhosunny_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/arhosunny_profile.png"" width=""60"" >",0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arisa_1010,scrap_web_details_image/arisa_1010_profile.png,0.0,,,,,5.0,36.0,5.0,36.0,5.0,36.0,19.0,276.0,1.0,155.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0811742B0>,"<img src=""scrap_web_details_image/arisa_1010_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/arisa_1010_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ariunaa_official,scrap_web_details_image/ariunaa_official_profile.png,0.0,,,,,98.0,79151.0,98.0,79151.0,98.0,79151.0,0.0,682.0,0.0,169.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081174E80>,"<img src=""scrap_web_details_image/ariunaa_official_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/ariunaa_official_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arryuu,scrap_web_details_image/arryuu_profile.png,4.9523726851851855,1938.0,257236.0,102.0,13538.736842105263,16.0,2091.0,16.0,2091.0,16.0,2091.0,20.0,7872.0,92.0,5758.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08114DDF0>,"<img src=""scrap_web_details_image/arryuu_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/arryuu_profile.png"" width=""60"" >",5,0.0,12.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0
as1.entertainment,scrap_web_details_image/as1.entertainment_profile.png,0.0769212962962963,674.0,99638.0,25.923076923076923,3832.230769230769,,,,,,,147.0,60410.0,13.0,35216.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0811651C0>,"<img src=""scrap_web_details_image/as1.entertainment_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/as1.entertainment_profile.png"" width=""60"" >",0,0.0,45.0,4.0,4.0,14.0,26.0,179.0,23.0,0.0,33.0
asahina_aya,scrap_web_details_image/asahina_aya_profile.png,2.307685185185185,,,,,65.0,6051.0,65.0,6051.0,65.0,6051.0,2.0,7831.0,49.0,6884.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0812769A0>,"<img src=""scrap_web_details_image/asahina_aya_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/asahina_aya_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
asartisticasyou,scrap_web_details_image/asartisticasyou_profile.png,1.1538425925925926,9.0,1373.0,0.3461538461538461,52.80769230769231,,,,,,,135.0,34716.0,0.0,13664.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0812848B0>,"<img src=""scrap_web_details_image/asartisticasyou_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/asartisticasyou_profile.png"" width=""60"" >",6,0.0,10.0,3.0,5.0,5.0,13.0,21.0,48.0,10.0,14.0
ashaetc,scrap_web_details_image/ashaetc_profile.png,4.0,765.0,171454.0,38.25,8572.7,15.0,1696.0,15.0,1696.0,15.0,1696.0,35.0,16035.0,67.0,11559.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08115EA30>,"<img src=""scrap_web_details_image/ashaetc_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/ashaetc_profile.png"" width=""60"" >",0,0.0,15.0,1.0,23.0,4.0,0.0,2.0,6.0,0.0,1.0
ashinaaa,scrap_web_details_image/ashinaaa_profile.png,0.0,,,,,362.0,295000.0,362.0,295000.0,362.0,295000.0,0.0,169.0,1.0,171.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08115ECD0>,"<img src=""scrap_web_details_image/ashinaaa_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/ashinaaa_profile.png"" width=""60"" >",0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
avabibu,scrap_web_details_image/avabibu_profile.png,2.807685185185185,297.0,8804.0,12.375,366.8333333333333,35.0,3848.0,35.0,3848.0,35.0,3848.0,8.0,11098.0,46.0,11064.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08115EEE0>,"<img src=""scrap_web_details_image/avabibu_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/avabibu_profile.png"" width=""60"" >",0,0.0,2.0,4.0,11.0,5.0,4.0,1.0,18.0,0.0,0.0
avery.leung,scrap_web_details_image/avery.leung_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081165430>,"<img src=""scrap_web_details_image/avery.leung_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/avery.leung_profile.png"" width=""60"" >",0,,,,,,,,,,
awansauce,scrap_web_details_image/awansauce_profile.png,3.461527777777777,630.0,21375.0,26.25,890.625,93.0,15279.0,93.0,15279.0,93.0,15279.0,61.0,13149.0,39.0,8781.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08116D9A0>,"<img src=""scrap_web_details_image/awansauce_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/awansauce_profile.png"" width=""60"" >",0,0.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
axleviolet,scrap_web_details_image/axleviolet_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08127CA00>,"<img src=""scrap_web_details_image/axleviolet_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/axleviolet_profile.png"" width=""60"" >",0,,,,,,,,,,
ayanbubi,scrap_web_details_image/ayanbubi_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0811741C0>,"<img src=""scrap_web_details_image/ayanbubi_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/ayanbubi_profile.png"" width=""60"" >",0,,,,,,,,,,
b.machine,scrap_web_details_image/b.machine_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081165D90>,"<img src=""scrap_web_details_image/b.machine_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/b.machine_profile.png"" width=""60"" >",0,,,,,,,,,,
