,ig_id,name,ig_description,no_of_post,no_of_follower,no_of_following,profile_img
63,moonieckm,Moonie Chu 朱嘉望,"['運動員', 'Athlete | OOTD | Beauty | Girl Talk', '💌 Job enquiry: ula@modeldirectionhk.com', '🇭🇰HK Team Fencer', '🌟Tokyo 2020 Olympian', '🥉Asian Games Medalist 2014 & 2018']",471,127000.0,1446,scrap_web_details_image/moonieckm_profile.png
64,bowiechoibuiyi,✨Bowie Choi珼圯✨,"['個人部落格', 'Hong Kong Freelance model', '❤️Beauty❤Fashion❤Travel❤Food', 'Job contact :poyi_1022@hotmail.com']",706,23000.0,626,scrap_web_details_image/bowiechoibuiyi_profile.png
65,phyleefehleh,商業服務,"['Artist Management @SUNNYIDEA', 'bit.ly/3804ikY']",660,3502.0,2273,scrap_web_details_image/phyleefehleh_profile.png
66,missjni,JEANNIE,"['☎️ monica +852 64860661', '💜 @onliest.co', '🐶 @dieselbaymaxkumo', 'onliest.one']",1907,700000.0,630,scrap_web_details_image/missjni_profile.png
67,sandytooooo,Sandy To 杜穎珊,"['▫️Founder @yogagroundhongkong', '▫️Host & Actress', '▫️Youtube: Sandy To Yoga ⬇️', 'youtu.be/AUAXpDEfE4E']",512,44000.0,692,scrap_web_details_image/sandytooooo_profile.png
68,axleviolet,VALERIE,"['藝術家', '🪐', '*', 'we know we dream,', '*', 'we dream we know.', '*', '✨']",3,8327.0,696,scrap_web_details_image/axleviolet_profile.png
69,florinda.ho,Florinda Ho,[],651,60000.0,206,scrap_web_details_image/florinda.ho_profile.png
70,beaconcollegehk,Beacon College (Official),"['學校', '【香港教育大學權威認證】', '92.3% 學生認為遵理課程能有效提升成績，考試更高分', '立即報讀常規課程 立即見到進步', 'campsite.bio/beaconcollegehk']",20000,64000.0,564,scrap_web_details_image/beaconcollegehk_profile.png
71,xmini.official,X-mini™ | Beyond Sound,"['We revolutionised the portable speaker industry with our capsule speakers. See below for our full range of audio products.', 'x-mini.com']",300,1683.0,2462,scrap_web_details_image/xmini.official_profile.png
72,clau_slimes,CLAUDIA ʕ •ᴥ•ʔﾉ || HK BASED 🇭🇰,"['❄️| pfp by @signflakes', '☃️ | your daily satisfaction', '⛷| est: 2/2/17']",251,53000.0,3152,scrap_web_details_image/clau_slimes_profile.png
73,cheungyauyu,張右雨 GLORIA🇭🇰,"['演員', '當下是唯一，也是全部。', '工作聯絡: 9872 3695 (Silvia)', '@viutv #940920 #全民造星3 #右雨Official', 'youtu.be/hgI5MQ16SqA']",258,22000.0,764,scrap_web_details_image/cheungyauyu_profile.png
74,theworlds50best,The Worlds 50 Best Restaurants,"['食品飲料', 'Explore Asia’s 50 Best Restaurants 2022 here!👇', 'linktr.ee/theworlds50best']",5405,1411000.0,1981,scrap_web_details_image/theworlds50best_profile.png
75,yan512,YAN NG 512 吳日言,"['公眾人物', '🎬 Actress 💗 Singer 🎤 MC 🌟Charity Founder 🏃\u200d♂️Charity Run Planner📝babyan1125@yahoo.com.hk 📧<-Job Contact @yan512 #512 #yan512']",2327,55000.0,639,scrap_web_details_image/yan512_profile.png
76,billy_onstage,Billy Chu 朱仲賢,"['活動企劃', 'Founder & Chairman of On Stage', '#eventpreneur #loveevents #lovetravel', '🏆ILEA Esprit Award “Best Industry Contribution”', '🎓 DBA 工商管理博士', '🏡 愛家庭 愛生活 愛不同', 'www.onstage.com.hk']",1956,1120.0,121,scrap_web_details_image/billy_onstage_profile.png
77,yeunghatou,Hatou 蝦頭 楊詩敏,"['藝術', '＜愛美麗狂想曲＞中飾演Kiki姐。<My盛Lady>中飾演Laura羅娜。舞台劇創作演員。2006年獲香港舞台劇獎「最佳女主角（喜/鬧劇）獎」。', '工作接洽：Victoria', '+852 92962952', 'hahahapro77@gmail.com', 'www.facebook.com/hatouyeung']",2761,68000.0,807,scrap_web_details_image/yeunghatou_profile.png
78,tedzted,Ted | 台灣/香港 IG&FB濾鏡 Filter,"['資訊技術公司', '🔵 濾鏡製作公司 : 太科技工作室 Tednology Studio', '🔴 專營台灣及香港 Instagram及Facebook Filter製作', '⚪ 專業公司及團隊報價、開發及協助品牌濾鏡上線', '⚫ 可直接私訊或電郵查詢，台灣請私訊 @aarontsai_aarontsai', 'tednology-studio.com']",12,81000.0,139,scrap_web_details_image/tedzted_profile.png
79,bertliu744,亞拔丨Bert744 🎛,"['製作人', 'CEO/Producer丨 @KingdomCGroup', 'Director丨 @GreyToneMusic', 'The 1st Hip Hop Music Awards in HK', '👇🏻 💥 香港首個Hip Hop音樂頒獎典禮 @whatsgoodmusicawards', 'www.whatsgood.hk']",9,10000.0,2478,scrap_web_details_image/bertliu744_profile.png
80,viutv,ViuTV,"['#ViuTV 免費電視 99台，生活需要更多選擇。', 'www.viu.tv']",3786,375000.0,252,scrap_web_details_image/viutv_profile.png
81,rickysham,@shamfc,[],5,5822.0,640,scrap_web_details_image/rickysham_profile.png
82,choy_ian,IAN CHOY,"['設計師', 'Aries ♈️', '•WATCH DESIGNER ⌚️', 'Contact: choy_ian@hotmail.com', 'youtu.be/LQYeRSVoYeQ']",1046,53000.0,762,scrap_web_details_image/choy_ian_profile.png
83,carlosbb,Carlos Chan 陳家樂,"['陳家樂 Carlos Chan', 'actor', '英皇娛樂工作接洽：Lam Tsang', '电話：（852）98680211', '电郵：lamtsang@emperorgroup.com', 'WeChat ID:', 'm.facebook.com/carloschankalok']",2017,158000.0,768,scrap_web_details_image/carlosbb_profile.png
84,saffiesaffie,Saffie Ng 吳慧心🦋,"['sᴛᴇᴘ ʀɪɢʜᴛ ɪɴᴛᴏ ʏᴏᴜʀ ғᴇᴀʀ', '♡ ᴍᴇɴᴛᴀʟ ʜᴇᴀʟᴛʜ ᴀᴅᴠᴏᴄᴀᴛᴇ', '✯ ᴄᴇʀᴛɪғɪᴇᴅ ɴᴜᴛʀɪᴛɪᴏɴ ᴄᴏᴀᴄʜ', '☽ ʏᴏɢᴀ & ᴍᴇᴅɪᴛᴀᴛɪᴏɴ ᴛᴇᴀᴄʜᴇʀ', '➶ ᴀᴅᴠᴀɴᴄᴇᴅ ᴘᴇʀsᴏɴᴀʟ ᴛʀᴀɪɴᴇʀ', 'youtube.com/c/YogiSaffie']",1153,52000.0,598,scrap_web_details_image/saffiesaffie_profile.png
85,lokyin_cg,大雄🐻,"['音樂家／樂團', '略 懂 三 四 。', '#開鎖佬樂隊', '@locksmithshk_official']",43,2155.0,814,scrap_web_details_image/lokyin_cg_profile.png
86,wongyuenb,王菀之wongyuenchi,"['藝術', 'Artist/Singersongwriter/Actress: Ivana Wong - For work enquiries please contact 😬 :', 'Tony Yapp : mediaasiatalent@mediaasia.com', 'youtube.com/c/IvanaWongYuenChi']",3640,208000.0,332,scrap_web_details_image/wongyuenb_profile.png
87,polly.cpl,🔴𝓡𝓮𝓭𝓲𝓼𝓟𝓸𝓵𝓵𝔂🔴,"['影片創作者', '♎Libra🇭🇰+852', '📦Founder of @jlt_justlikethis', '🎥YouTube | RedisPolly & DrumisPolly', '💌yukilui.chilli@gmail.com', 'www.youtube.com/redispolly']",529,69000.0,793,scrap_web_details_image/polly.cpl_profile.png
88,jumbotsang,jumbo tsang曾淑雅,"['公眾人物', 'Be true be yourself♌️🦁', '❤️Simple.Life👧🏻🏠🐶⛰🏃🏻\u200d♀️', '🇭🇰Artist', '🧘🏻\u200d♀️Pilates matwork instructor', 'Job enquiry🌟Monica:6486 0661', '⬇️ 新年行大運-蠔殼山⛰Vlog', 'youtu.be/GfCyWKG50DQ']",851,587000.0,699,scrap_web_details_image/jumbotsang_profile.png
89,pelilam,Peli Lam,"['📍Milan- HK |🇮🇹@istitutomarangoni', 'MA Fashion&Luxury Brand Management', 'FASHION STYLIST', '#pelistyling', 'pelilcy@gmail.com', '🐎🧘🏽\u200d♀️']",522,3059.0,1770,scrap_web_details_image/pelilam_profile.png
90,gedition.co,Grace,"['▫️Life improvement experiments x ∞', '▫️Current 7-day self-challenge:', '• 30mins Body Scan', '▫️Tested & for keeps:', '• Daily writing x 30mins', '• 80/20']",2036,6773.0,395,scrap_web_details_image/gedition.co_profile.png
91,bake.your.own,BYO自助烘焙 | 香港人整甜品嘅地方,"['廚房／烹飪', '[照常營業] CWB | MK | KLB | YL', 'We have vegan & pet menu!', '印刷蛋糕Printed Cakes 👉🏽 @bakyo.hk', 'www.linktr.ee/byohk']",261,29000.0,4,scrap_web_details_image/bake.your.own_profile.png
92,iloveqq,Queenie Chan,"['公眾人物', 'Creating my own sunshine and share with the world .❤️', 'Founder of @sobrush', '@wearablelovebyqq', '@busyqflorista and Q Taste Buddy.', 'YouTube : BeautyQQ📽', 'www.beautyqqstore.com']",7491,137000.0,2737,scrap_web_details_image/iloveqq_profile.png
93,mastamic,MastaMic,"['勵志演說家', '新歌《食色》正式上市', 'youtu.be/rX8FhoLpV-w']",18,17000.0,607,scrap_web_details_image/mastamic_profile.png
94,neomusicproduction,Neo Music Production,"['𝙋𝙧𝙚𝙢𝙞𝙪𝙢 𝙇𝙞𝙫𝙚 𝙈𝙪𝙨𝙞𝙘 - 𝙀𝙫𝙚𝙣𝙩𝙨 •𝙒𝙚𝙙𝙙𝙞𝙣𝙜𝙨 •𝘾𝙤𝙣𝙘𝙚𝙧𝙩𝙨', '𝙈𝙪𝙨𝙞𝙘 𝙋𝙧𝙤𝙙𝙪𝙘𝙩𝙞𝙤𝙣 - 𝙁𝙞𝙡𝙢 𝙎𝙘𝙤𝙧𝙚 •𝙎𝙤𝙣𝙜𝙨', '𝘼𝙬𝙖𝙧𝙙-𝙬𝙞𝙣𝙣𝙞𝙣𝙜 𝘾𝙤𝙢𝙥𝙤𝙨𝙚𝙧 @yusukehat', '𝙒𝙝𝙖𝙩𝙨𝘼𝙥𝙥 62038506', 'neomusicproduction.com']",1124,19000.0,2562,scrap_web_details_image/neomusicproduction_profile.png
95,boboy831,BoBo Yeung,['TVB Actress 🌟Yeung Ka Po Bobo | D26K | Dream Big💭 Keep Sparkling✨ Stay Gorgeous💋'],814,10000.0,2080,scrap_web_details_image/boboy831_profile.png
